Variable	Year	Month	Value	Unit	Source	State	County	Country
Percentage of cattle loss accounted for by flood	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by disease	2017	1	60%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by disease	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by disease	2017	3	100%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by disease	2017	4	67%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by starvation	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by starvation	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by starvation	2017	3	80%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by starvation	2017	4	33%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by dehydration	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by dehydration	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by dehydration	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by dehydration	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by theft	2017	1	30%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by theft	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by theft	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by theft	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by lost	2017	1	60%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by lost	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by lost	2017	3	100%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by lost	2017	4	33%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by flood	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by flood	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by flood	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by flood	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	1	30%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	3	20%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	4	67%	%	CliMIS	Warrap		South Sudan
Percentage of cattle loss accounted for by disease	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by disease	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by disease	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by disease	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by starvation	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by starvation	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by starvation	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by starvation	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by dehydration	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by dehydration	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by dehydration	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by dehydration	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by theft	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by theft	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by theft	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by theft	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by lost	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by lost	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by lost	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by lost	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by flood	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by flood	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by flood	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by flood	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of cattle loss accounted for by slaughter	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by disease	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by disease	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by disease	2017	3	50%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by disease	2017	4	90%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by starvation	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by starvation	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by starvation	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by starvation	2017	4	30%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by dehydration	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by dehydration	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by dehydration	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by dehydration	2017	4	10%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by theft	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by theft	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by theft	2017	3	33%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by theft	2017	4	50%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by lost	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by lost	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by lost	2017	3	50%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by lost	2017	4	30%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by flood	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by flood	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by flood	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by flood	2017	4		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by slaughter	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by slaughter	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by slaughter	2017	3	33%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by slaughter	2017	4	30%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of goat loss accounted for by disease	2017	1	92%	%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by disease	2017	2	100%	%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by disease	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by disease	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by starvation	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by starvation	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by starvation	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by starvation	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by dehydration	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by dehydration	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by dehydration	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by dehydration	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by theft	2017	1	67%	%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by theft	2017	2	100%	%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by theft	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by theft	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by lost	2017	1	58%	%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by lost	2017	2	60%	%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by lost	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by lost	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by flood	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by flood	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by flood	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by flood	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by slaughter	2017	1	33%	%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by slaughter	2017	2	20%	%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by slaughter	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by slaughter	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of goat loss accounted for by disease	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by disease	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by disease	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by disease	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by starvation	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by starvation	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by starvation	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by starvation	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by dehydration	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by dehydration	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by dehydration	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by dehydration	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by theft	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by theft	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by theft	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by theft	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by lost	2017	1	13%	%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by lost	2017	2	13%	%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by lost	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by lost	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by flood	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by flood	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by flood	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by flood	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by slaughter	2017	1	13%	%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by slaughter	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by slaughter	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by slaughter	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by disease	2017	1	70%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by disease	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by disease	2017	3	100%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by disease	2017	4	33%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by starvation	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by starvation	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by starvation	2017	3	80%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by starvation	2017	4	33%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by dehydration	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by dehydration	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by dehydration	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by dehydration	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by theft	2017	1	20%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by theft	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by theft	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by theft	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by lost	2017	1	60%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by lost	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by lost	2017	3	100%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by lost	2017	4	33%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by flood	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by flood	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by flood	2017	3		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by flood	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by slaughter	2017	1	20%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by slaughter	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by slaughter	2017	3	20%	%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by slaughter	2017	4		%	CliMIS	Warrap		South Sudan
Percentage of goat loss accounted for by disease	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by disease	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by disease	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by disease	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by starvation	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by starvation	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by starvation	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by starvation	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by dehydration	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by dehydration	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by dehydration	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by dehydration	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by theft	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by theft	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by theft	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by theft	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by lost	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by lost	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by lost	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by lost	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by flood	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by flood	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by flood	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by flood	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by slaughter	2017	1		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by slaughter	2017	2		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by slaughter	2017	3		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of goat loss accounted for by slaughter	2017	4		%	CliMIS	Western Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by disease	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by disease	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by disease	2017	3	50%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by disease	2017	4	30%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by starvation	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by starvation	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by starvation	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by starvation	2017	4		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	4	20%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by theft	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by theft	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by theft	2017	3	17%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by theft	2017	4	10%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by lost	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by lost	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by lost	2017	3	17%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by lost	2017	4	20%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by flood	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by flood	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by flood	2017	3		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by flood	2017	4		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	1		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	2		%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	3	17%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	4	10%	%	CliMIS	Eastern Equatoria		South Sudan
Percentage of poultry loss accounted for by disease	2017	1	58%	%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by disease	2017	2	40%	%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by disease	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by disease	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by starvation	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by starvation	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by starvation	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by starvation	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by theft	2017	1	50%	%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by theft	2017	2	20%	%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by theft	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by theft	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by lost	2017	1	17%	%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by lost	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by lost	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by lost	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by flood	2017	1		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by flood	2017	2		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by flood	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by flood	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	1	42%	%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	2	40%	%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	3		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	4		%	CliMIS	Jonglei		South Sudan
Percentage of poultry loss accounted for by disease	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by disease	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by disease	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by disease	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by starvation	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by starvation	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by starvation	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by starvation	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by theft	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by theft	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by theft	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by theft	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by lost	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by lost	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by lost	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by lost	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by flood	2017	1		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by flood	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by flood	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by flood	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	1	25%	%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	2		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	3		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by slaughter	2017	4		%	CliMIS	Northern Bahr El Ghazal		South Sudan
Percentage of poultry loss accounted for by disease	2017	1	20%	%	CliMIS	Warrap		South Sudan
Percentage of poultry loss accounted for by disease	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of poultry loss accounted for by disease	2017	3	40%	%	CliMIS	Warrap		South Sudan
Percentage of poultry loss accounted for by disease	2017	4	100%	%	CliMIS	Warrap		South Sudan
Percentage of poultry loss accounted for by starvation	2017	1		%	CliMIS	Warrap		South Sudan
Percentage of poultry loss accounted for by starvation	2017	2		%	CliMIS	Warrap		South Sudan
Percentage of poultry loss accounted for by starvation	2017	3	40%	%	CliMIS	Warrap		South Sudan
Percentage of poultry loss accounted for by starvation	2017	4	67%	%	CliMIS	Warrap		South Sudan
Percentage of poultry loss accounted for by dehydration	2017	1		%	CliMIS	Warrap		South Sudan
