Indicator Name|Unit|1961|1962|1963|1964|1965|1966|1967|1968|1969|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2010-2012|2011|2011-2013|2012|2012-2014|2013|2014|2014-2016|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060|2061|2062|2063|2064|2065|2066|2067|2068|2069|2070|2071|2072|2073|2074|2075|2076|2077|2078|2079|2080|2081|2082|2083|2084|2085|2086|2087|2088|2089|2090|2091|2092|2093|2094|2095|2096|2097|2098|2099|2100
Import Quantity, Eggs, liquid|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||127.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Eggs, other bird, in shell|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||116.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Fat, cattle|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Fat, nes, prepared|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||149.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Fibreboard|m3||||||||||||||||||||||||||||||||||||||||||||||||||||||62.0||20.0|20.0||20.0|20.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Fixed Vegetable Oils|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||11103.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Flour, cereals|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||51.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Flour, maize|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||28324.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Flour, mustard|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Flour, pulses|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||51.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Flour, roots and tubers nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||199.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Flour, wheat|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||32014.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Fodder & Feeding stuff|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||49.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Food prep nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2369.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Food preparations, flour, malt extract|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||730.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Food wastes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Fruit, dried nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||7.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Fruit, fresh nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Fruit, prepared nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||91.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Fruit, tropical fresh nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Garlic|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||105.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Ginger|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Goats|Head|||||||||||||||||||||||||||||||||||||||||||||||||0.0|0.0||0.0||0.0||0.0|60.0||375.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Grain, mixed|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||300.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Grapefruit (inc. pomelos)|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Grapes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||7.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Graphic papers|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||3.0||18.0|18.0||18.0|18.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Groundnuts Total Shelled|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||537.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Groundnuts, shelled|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||18.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Horses|Head|||||||||||||||||||||||||||||||||||||||||||||||||0.0|0.0||0.0||0.0||0.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Household and sanitary papers|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0||4.0|4.0||4.0|4.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Ice cream and edible ice|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Infant food|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||8.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Juice, citrus, single strength|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||5.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Juice, fruit nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2134.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Juice, grape|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Juice, grapefruit, concentrated|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Juice, lemon, concentrated|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Juice, orange, concentrated|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||15.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Juice, orange, single strength|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||12.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Juice, tomato|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||8.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Lentils|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2398.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Lettuce and chicory|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||283.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, MDF/HDF|m3||||||||||||||||||||||||||||||||||||||||||||||||||||||62.0||20.0|20.0||20.0|20.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Macaroni|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||37.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Maize|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||24685.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Malt|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||639.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Mangoes, mangosteens, guavas|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||26.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Margarine, short|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||20.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Maté|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||13.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat Bovine Fresh|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||44.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat Poultry Fresh|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||453.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat Prepared Pres|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||40.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat Sheep Fresh|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat, beef and veal sausages|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||23.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat, beef, preparations|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||39.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat, cattle|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||29.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat, cattle, boneless (beef & veal)|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||15.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat, chicken|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||453.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat, goat|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat, pig sausages|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Meat, sheep|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Melons, other (inc.cantaloupes)|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk Condensed + Evaporated|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||231.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk Dry|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||200.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk Equivalent|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||5229.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk Fresh|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2302.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk, products of natural constituents nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||80.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk, skimmed cow|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||667.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk, skimmed dried|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||166.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk, whole condensed|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||231.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk, whole dried|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||34.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Milk, whole fresh cow|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1635.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Millet|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||192.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Miscellaneous Food|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2551.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Mustard seed|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Nutmeg, mace and cardamoms|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Nuts, nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||13.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Nuts, prepared (exc. groundnuts)|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||28.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oats|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1153.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oats rolled|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||4.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Offals, liver geese|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oil, boiled etc|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||35.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oil, essential nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oil, groundnut|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oil, olive residues|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oil, olive, virgin|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oil, palm|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||7664.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oil, palm kernel|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||81.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oil, sunflower|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||650.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oil, vegetable origin nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2708.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oilseed Cake Meal|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||21.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oilseed Cake nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||21.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oilseeds|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1000.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oilseeds nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||50.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Olive Oil,Total|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Olives|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Onions|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||865.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Onions, dry|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||865.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oranges|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||256.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oranges+Tang+Clem|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||258.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Oth Citrus Frt|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||52.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Other Meat|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Other paper and paperboard|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0||5.0|5.0||5.0|5.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Other paper and paperboard n.e.s. (not elsewhere specified)|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0||1.0|1.0||1.0|1.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Ovine Meat|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Papayas|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||28.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Paper and paperboard|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||4.0||23.0|23.0||23.0|23.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Paper and paperboard, excluding newsprint|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||4.0||23.0|23.0||23.0|23.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Pastry|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||4308.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Pears|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Peas, dry|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1564.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Peas, green|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||66.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Pepper (piper spp.)|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||45.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Pigmeat|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||13.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Pigs|Head|||||||||||||||||||||||||||||||||||||||||||||||||0.0|0.0||0.0||0.0||0.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Pineapples|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||147.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Pineapples canned|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Plantains and others|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||2100.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Plywood|m3||||||||||||||||||||||||||||||||||||||||||||||||||||||215.0||185.0|185.0||185.0|185.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Potatoes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||678.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Potatoes, frozen|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||449.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Poultry Meat|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||453.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Printing and writing papers|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||3.0||18.0|18.0||18.0|18.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Printing and writing papers, coated|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0||17.0|17.0||17.0|17.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Printing and writing papers, uncoated, mechanical|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0||1.0|1.0||1.0|1.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Printing and writing papers, uncoated, wood free|tonnes||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0||0.0|0.0||0.0|0.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Pulses|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||7082.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Pumpkins, squash and gourds|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Raisins|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Rape+Mustard Seed|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Rapeseed|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Rice|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||25618.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Rice - total  (Rice milled equivalent)|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||25618.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Roots and tubers, nes|tonnes|||||||||||||||||||||||||||||||||||||||||||||||||||||||||4.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Import Quantity, Sawnwood|m3||||||||||||||||||||||||||||||||||||||||||||||||||||||||18.0|18.0||18.0|18.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
